optalfa1,optalfa2,optalfa3,optalfa4,optalfa5,optalfa6,optalfa7,optalfa8,optalfa9,optalfa10,optalfa11,optalfa12,optalfa13,optalfa14,optalfa15,optalfa16
0.0099999964333512,2.57455571618659e-09,1.09114289270629e-08,0.00999993310593408,3.01721828077639e-10,1.89267256034409e-09,2.83310444548768e-10,0.0440860560091255,7.52772510992372e-10,6.06909023037616e-10,9.06510921883097e-10,1.22921957501632e-07,1.78207060219648e-09,1.02501396259669e-09,3.70390162984791e-10,3.58893359475587e-08
1.02126881317619e-08,5.62595798179957e-09,1.31930306555828e-08,0.00309369588570161,2.34930648509289e-10,2.67649075938388e-09,3.30139010904402e-10,4.10482549156041e-08,7.21996647281154e-10,6.12722847008584e-10,1.08554461222166e-09,5.25434933653021e-08,1.73488540110249e-09,1.05176535866304e-09,3.9207702298774e-10,1.92412661235875e-08
0.00999999229413953,0.00999998899968873,1.3581655592349e-08,0.0028498161258552,4.19044179803397e-10,3.48308803690514e-09,3.20864954644337e-10,5.68414251097339e-08,9.75240868532884e-10,5.41056412584037e-10,8.16227492940421e-10,2.245601167146e-07,2.27262527707799e-09,1.01266408923722e-09,3.32038951150748e-10,4.21690204926842e-08
0.00999999945730181,0.00999999964478859,0.00999999946473294,0.00999999296369942,0.0999999998468386,0.0999999984103223,0.099999999759302,0.0999999985987414,0.499999996846308,4.03881520820518e-09,7.74022010823259e-09,1.17116738784726e-08,0.99999994599133,5.84427020716761e-09,2.18233753918434e-09,2.75967739031484e-09
0.00999999937149326,0.00999999965769339,0.0099999995171157,0.00999999035382152,0.0999999997994583,0.0999999985524183,0.0999999998108027,0.0999999972832994,0.499999997089427,8.14858512005644e-09,1.70042459243095e-09,6.88957402203188e-09,0.999999978354895,2.79042619390059e-09,5.91875722087224e-10,1.42296787370789e-09
0.00999999912382688,0.00999999921711799,0.00999999863771575,5.74471151682027e-07,5.94843577029495e-09,0.0999999944900733,0.0999999980498058,2.03681580232948e-08,2.36255462584536e-09,3.34425624769046e-09,1.85732499239684e-09,1.43559520955574e-08,5.20762568525507e-09,2.15005597267687e-09,5.34900787005821e-10,1.33344800359366e-09
0.00999999934603269,1.84253508094239e-09,3.37046840680127e-09,1.52569780683822e-07,5.20704082131767e-10,1.39616531637301e-09,3.38121680188187e-10,2.62341038948376e-08,1.39251526331395e-09,5.56855496586469e-10,8.81897476414635e-10,1.77827766070747e-06,3.66053004192377e-09,1.04137795623743e-09,2.78467944364985e-10,0.158092808317054
0.00999999886198231,0.00999999886746024,0.00999999760517909,0.00358695316804799,1.91906163410179e-10,0.0999999932243818,0.0933670230364842,9.25520311025072e-09,1.3223522158914e-09,1.6051772354452e-09,1.06094694872957e-09,1.0594318912073e-08,4.38292663640309e-09,2.07193838032526e-09,3.89811259180179e-10,1.93364596243238e-09
0.0099999980118395,5.57137048683111e-09,3.91448835341329e-09,1.40197567738935e-07,2.22968004762053e-10,1.94880500985892e-09,3.5417334900497e-10,2.95448949389146e-08,1.16969320747031e-09,3.86820984693775e-10,6.25508384822811e-10,2.69503699706916e-07,3.39967962088145e-09,6.46546807795904e-10,2.4908970258967e-10,6.6673701111246e-08
0.00999999876866745,1.81301335229732e-09,2.7584064672458e-08,0.00999998942383252,4.02500841226558e-10,1.16383388168502e-09,4.47104012846096e-10,0.0999999924567422,1.17711324943239e-09,3.09805242295584e-10,7.69597733604989e-10,0.100218858606205,3.17815306704421e-09,5.23874224060492e-10,3.70074202460881e-10,1.2205099758533e-07
0.00999999967975565,0.00999999918159218,8.36179097703747e-09,3.76643961609961e-07,0.099999999857517,1.6418779655297e-09,1.90096888850298e-10,1.06758973407891e-07,0.499999991962673,3.23733717913023e-10,4.45084430967039e-10,0.163046409505649,4.85019605028671e-08,4.97971300349487e-10,2.02895422361882e-10,0.11464682939384
0.00999999983491999,0.00999999985657444,0.0099999997261298,0.00999999698036612,0.0999999999399259,0.0999999991097363,0.099999999852448,0.0999999994163769,0.499999999046042,0.499999992846734,3.93890796270445e-09,0.180543730724415,0.999999996476575,1.90008993988449e-09,5.96010729689391e-10,0.167714342232696
